Hotaru no haka,1988.0,89 min,"Animation, Drama, War",8.5,Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara
Back to the Future,1985.0,116 min,"Adventure, Comedy, Sci-Fi",8.5,Michael J. Fox,Christopher Lloyd,Crispin Glover
Once Upon a Time in the West,1968.0,165 min,Western,8.5,Henry Fonda,Charles Bronson,Jason Robards
Psycho,1960.0,109 min,"Horror, Mystery, Thriller",8.5,Anthony Perkins,Janet Leigh,John Gavin
Casablanca,1942.0,102 min,"Drama, Romance, War",8.5,Humphrey Bogart,Ingrid Bergman,Claude Rains
Modern Times,1936.0,87 min,"Comedy, Drama, Family",8.5,Charles Chaplin,Paulette Goddard,Tiny Sandford
City Lights,1931.0,87 min,"Comedy, Drama, Romance",8.5,Charles Chaplin,Virginia Cherrill,Harry Myers
Capharnaüm,2018.0,126 min,Drama,8.4,Zain Al Rafeea,Yordanos Shiferaw,Kawsar Al Haddad
Ayla: The Daughter of War,2017.0,125 min,"Biography, Drama, History",8.4,Erdem Can,Çetin Tekindor,Kyung-jin Lee
Vikram Vedha,2017.0,147 min,"Action, Crime, Drama",8.4,Pushkar,Madhavan,Shraddha Srinath
Kimi no na wa.,2016.0,106 min,"Animation, Drama, Fantasy",8.4,Ryûnosuke Kamiki,Mone Kamishiraishi,Aoi Yûki
Dangal,2016.0,161 min,"Action, Biography, Drama",8.4,Aamir Khan,Sakshi Tanwar,Sanya Malhotra
Spider-Man: Into the Spider-Verse,2018.0,117 min,"Animation, Action, Adventure",8.4,Peter Ramsey,Rodney Rothman,Jake Johnson
Avengers: Endgame,2019.0,181 min,"Action, Adventure, Drama",8.4,Joe Russo,Robert Downey Jr.,Mark Ruffalo
Avengers: Infinity War,2018.0,149 min,"Action, Adventure, Sci-Fi",8.4,Joe Russo,Robert Downey Jr.,Mark Ruffalo
Coco,2017.0,105 min,"Animation, Adventure, Family",8.4,Adrian Molina,Anthony Gonzalez,Benjamin Bratt
Django Unchained,2012.0,165 min,"Drama, Western",8.4,Jamie Foxx,Christoph Waltz,Kerry Washington
The Dark Knight Rises,2012.0,164 min,"Action, Adventure",8.4,Christian Bale,Tom Hardy,Gary Oldman
3 Idiots,2009.0,170 min,"Comedy, Drama",8.4,Aamir Khan,Madhavan,Sharman Joshi
Taare Zameen Par,2007.0,165 min,"Drama, Family",8.4,Amole Gupte,Darsheel Safary,Tisca Chopra
WALL·E,2008.0,98 min,"Animation, Adventure, Family",8.4,Ben Burtt,Elissa Knight,Fred Willard
The Lives of Others,2006.0,137 min,"Drama, Mystery, Thriller",8.4,Ulrich Mühe,Martina Gedeck,Ulrich Tukur
Oldeuboi,2003.0,101 min,"Action, Drama, Mystery",8.4,Choi Min-sik,Yoo Ji-Tae,Kim Byeong-Ok
Memento,2000.0,113 min,"Mystery, Thriller",8.4,Guy Pearce,Carrie-Anne Moss,Mark Boone Junior
Mononoke-hime,1997.0,134 min,"Animation, Action, Adventure",8.4,Yôji Matsuda,Yuriko Ishida,Billy Crudup
Once Upon a Time in America,1984.0,229 min,"Crime, Drama",8.4,Robert De Niro,James Woods,Treat Williams
Raiders of the Lost Ark,1981.0,115 min,"Action, Adventure",8.4,Harrison Ford,Karen Allen,John Rhys-Davies
The Shining,1980.0,146 min,"Drama, Horror",8.4,Jack Nicholson,Shelley Duvall,Scatman Crothers
Apocalypse Now,1979.0,147 min,"Drama, Mystery, War",8.4,Martin Sheen,Marlon Brando,Frederic Forrest
Alien,1979.0,117 min,"Horror, Sci-Fi",8.4,Sigourney Weaver,Tom Skerritt,Veronica Cartwright
Anand,1971.0,122 min,"Drama, Musical",8.4,Rajesh Khanna,Amitabh Bachchan,Ramesh Deo
Tengoku to jigoku,1963.0,143 min,"Crime, Drama, Mystery",8.4,Toshirô Mifune,Yutaka Sada,Kyôko Kagawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,95 min,Comedy,8.4,Peter Sellers,George C. Scott,Keenan Wynn
Witness for the Prosecution,1957.0,116 min,"Crime, Drama, Mystery",8.4,Tyrone Power,Marlene Dietrich,Elsa Lanchester
Paths of Glory,1957.0,88 min,"Drama, War",8.4,Kirk Douglas,Ralph Meeker,George Macready
Rear Window,1954.0,112 min,"Mystery, Thriller",8.4,James Stewart,Grace Kelly,Thelma Ritter
Sunset Blvd.,1950.0,110 min,"Drama, Film-Noir",8.4,William Holden,Gloria Swanson,Nancy Olson
The Great Dictator,1940.0,125 min,"Comedy, Drama, War",8.4,Charles Chaplin,Paulette Goddard,Reginald Gardiner
1917.0,2019.0,119 min,"Drama, Thriller, War",8.3,Dean-Charles Chapman,George MacKay,Colin Firth
Tumbbad,2018.0,104 min,"Drama, Fantasy, Horror",8.3,Anand Gandhi,Adesh Prasad,Jyoti Malshe
Andhadhun,2018.0,139 min,"Crime, Drama, Music",8.3,Ayushmann Khurrana,Tabu,Anil Dhawan
Drishyam,2013.0,160 min,"Crime, Drama, Thriller",8.3,Mohanlal,Meena,Ansiba
Jagten,2012.0,115 min,Drama,8.3,Mads Mikkelsen,Thomas Bo Larsen,Lasse Fogelstrøm
Jodaeiye Nader az Simin,2011.0,123 min,Drama,8.3,Payman Maadi,Leila Hatami,Shahab Hosseini
Incendies,2010.0,131 min,"Drama, Mystery, War",8.3,Lubna Azabal,Mélissa Désormeaux-Poulin,Mustafa Kamel
Miracle in cell NO.7,2019.0,132 min,Drama,8.3,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Celile Toyon Uysal
Babam ve Oglum,2005.0,112 min,"Drama, Family",8.3,Çetin Tekindor,Fikret Kuskan,Ege Tanman
Inglourious Basterds,2009.0,153 min,"Adventure, Drama, War",8.3,Brad Pitt,Diane Kruger,Mélanie Laurent
Eternal Sunshine of the Spotless Mind,2004.0,108 min,"Drama, Romance, Sci-Fi",8.3,Jim Carrey,Kate Winslet,Gerry Robert Byrne
Amélie,2001.0,122 min,"Comedy, Romance",8.3,Audrey Tautou,Mathieu Kassovitz,Lorella Cravotta
Snatch,2000.0,104 min,"Comedy, Crime",8.3,Jason Statham,Brad Pitt,Dennis Farina
Requiem for a Dream,2000.0,102 min,Drama,8.3,Ellen Burstyn,Jared Leto,Marlon Wayans
American Beauty,1999.0,122 min,Drama,8.3,Kevin Spacey,Annette Bening,Wes Bentley
Good Will Hunting,1997.0,126 min,"Drama, Romance",8.3,Robin Williams,Matt Damon,Stellan Skarsgård
Bacheha-Ye aseman,1997.0,89 min,"Drama, Family, Sport",8.3,Mohammad Amir Naji,Amir Farrokh Hashemian,Nafise Jafar-Mohammadi
Toy Story,1995.0,81 min,"Animation, Adventure, Comedy",8.3,Tom Hanks,Tim Allen,Jim Varney
Braveheart,1995.0,178 min,"Biography, Drama, History",8.3,Mel Gibson,Sophie Marceau,Angus Macfadyen
Reservoir Dogs,1992.0,99 min,"Crime, Drama, Thriller",8.3,Harvey Keitel,Tim Roth,Chris Penn
Full Metal Jacket,1987.0,116 min,"Drama, War",8.3,Matthew Modine,R. Lee Ermey,Adam Baldwin
Idi i smotri,1985.0,142 min,"Drama, Thriller, War",8.3,Aleksey Kravchenko,Olga Mironova,Vladas Bagdonas
Aliens,1986.0,137 min,"Action, Adventure, Sci-Fi",8.3,Sigourney Weaver,Michael Biehn,Paul Reiser
Amadeus,1984.0,160 min,"Biography, Drama, History",8.3,F. Murray Abraham,Tom Hulce,Roy Dotrice
Scarface,1983.0,170 min,"Crime, Drama",8.3,Al Pacino,Michelle Pfeiffer,Mary Elizabeth Mastrantonio
Star Wars: Episode VI - Return of the Jedi,1983.0,131 min,"Action, Adventure, Fantasy",8.3,Mark Hamill,Harrison Ford,Billy Dee Williams
Das Boot,1981.0,149 min,"Adventure, Drama, Thriller",8.3,Jürgen Prochnow,Herbert Grönemeyer,Hubertus Bengsch
Taxi Driver,1976.0,114 min,"Crime, Drama",8.3,Robert De Niro,Jodie Foster,Albert Brooks
The Sting,1973.0,129 min,"Comedy, Crime, Drama",8.3,Paul Newman,Robert Redford,Charles Durning
A Clockwork Orange,1971.0,136 min,"Crime, Drama, Sci-Fi",8.3,Malcolm McDowell,Patrick Magee,Warren Clarke
2001: A Space Odyssey,1968.0,149 min,"Adventure, Sci-Fi",8.3,Keir Dullea,Gary Lockwood,Daniel Richter
Per qualche dollaro in più,1965.0,132 min,Western,8.3,Clint Eastwood,Lee Van Cleef,Mara Krupp
Lawrence of Arabia,1962.0,228 min,"Adventure, Biography, Drama",8.3,Peter O'Toole,Alec Guinness,Jack Hawkins
The Apartment,1960.0,125 min,"Comedy, Drama, Romance",8.3,Jack Lemmon,Shirley MacLaine,Ray Walston
North by Northwest,1959.0,136 min,"Adventure, Mystery, Thriller",8.3,Cary Grant,Eva Marie Saint,Jessie Royce Landis
Vertigo,1958.0,128 min,"Mystery, Romance, Thriller",8.3,James Stewart,Kim Novak,Tom Helmore
Singin' in the Rain,1952.0,103 min,"Comedy, Musical, Romance",8.3,Gene Kelly,Gene Kelly,Debbie Reynolds
Ikiru,1952.0,143 min,Drama,8.3,Takashi Shimura,Nobuo Kaneko,Haruo Tanaka
Ladri di biciclette,1948.0,89 min,Drama,8.3,Lamberto Maggiorani,Enzo Staiola,Elena Altieri
